t_start_s,t_end_s,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_median,acc_x_iqr,acc_x_rms,acc_x_skewness,acc_x_kurtosis,acc_x_zcr,acc_x_abs_integral,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_median,acc_y_iqr,acc_y_rms,acc_y_skewness,acc_y_kurtosis,acc_y_zcr,acc_y_abs_integral,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_median,acc_z_iqr,acc_z_rms,acc_z_skewness,acc_z_kurtosis,acc_z_zcr,acc_z_abs_integral,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_median,gyro_x_iqr,gyro_x_rms,gyro_x_skewness,gyro_x_kurtosis,gyro_x_zcr,gyro_x_abs_integral,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_median,gyro_y_iqr,gyro_y_rms,gyro_y_skewness,gyro_y_kurtosis,gyro_y_zcr,gyro_y_abs_integral,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_median,gyro_z_iqr,gyro_z_rms,gyro_z_skewness,gyro_z_kurtosis,gyro_z_zcr,gyro_z_abs_integral,quat_w_mean,quat_w_std,quat_w_min,quat_w_max,quat_w_range,quat_w_median,quat_w_iqr,quat_w_rms,quat_w_skewness,quat_w_kurtosis,quat_w_zcr,quat_w_abs_integral,quat_x_mean,quat_x_std,quat_x_min,quat_x_max,quat_x_range,quat_x_median,quat_x_iqr,quat_x_rms,quat_x_skewness,quat_x_kurtosis,quat_x_zcr,quat_x_abs_integral,quat_y_mean,quat_y_std,quat_y_min,quat_y_max,quat_y_range,quat_y_median,quat_y_iqr,quat_y_rms,quat_y_skewness,quat_y_kurtosis,quat_y_zcr,quat_y_abs_integral,quat_z_mean,quat_z_std,quat_z_min,quat_z_max,quat_z_range,quat_z_median,quat_z_iqr,quat_z_rms,quat_z_skewness,quat_z_kurtosis,quat_z_zcr,quat_z_abs_integral,encoder_angle_mean,encoder_angle_std,encoder_angle_min,encoder_angle_max,encoder_angle_range,encoder_angle_median,encoder_angle_iqr,encoder_angle_rms,encoder_angle_skewness,encoder_angle_kurtosis,encoder_angle_zcr,encoder_angle_abs_integral,grf_x_mean,grf_x_std,grf_x_min,grf_x_max,grf_x_range,grf_x_median,grf_x_iqr,grf_x_rms,grf_x_skewness,grf_x_kurtosis,grf_x_zcr,grf_x_abs_integral,grf_y_mean,grf_y_std,grf_y_min,grf_y_max,grf_y_range,grf_y_median,grf_y_iqr,grf_y_rms,grf_y_skewness,grf_y_kurtosis,grf_y_zcr,grf_y_abs_integral,grf_z_mean,grf_z_std,grf_z_min,grf_z_max,grf_z_range,grf_z_median,grf_z_iqr,grf_z_rms,grf_z_skewness,grf_z_kurtosis,grf_z_zcr,grf_z_abs_integral,grt_x_mean,grt_x_std,grt_x_min,grt_x_max,grt_x_range,grt_x_median,grt_x_iqr,grt_x_rms,grt_x_skewness,grt_x_kurtosis,grt_x_zcr,grt_x_abs_integral,grt_y_mean,grt_y_std,grt_y_min,grt_y_max,grt_y_range,grt_y_median,grt_y_iqr,grt_y_rms,grt_y_skewness,grt_y_kurtosis,grt_y_zcr,grt_y_abs_integral,grt_z_mean,grt_z_std,grt_z_min,grt_z_max,grt_z_range,grt_z_median,grt_z_iqr,grt_z_rms,grt_z_skewness,grt_z_kurtosis,grt_z_zcr,grt_z_abs_integral,power_mean,power_std,power_min,power_max,power_range,power_median,power_iqr,power_rms,power_skewness,power_kurtosis,power_zcr,power_abs_integral,label
0,0.998,-0.1284390244,0.5811053407,-2.37,1.28,3.65,-0.01,0.4,0.5951302378,-1.678851367,7.458815468,14,0.36218,-0.004390243902,0.7560682921,-3.24,2.54,5.78,-0.14,0.34,0.7560810384,0.1723867529,7.972563427,10,0.49306,-0.02048780488,0.5192966689,-1.71,1.64,3.35,0.02,0.24,0.5197006643,-0.8974344283,6.406234969,14,0.31433,-0.1692682927,0.2914822527,-0.79,0.19,0.98,-0.01,0.39,0.3370662524,-0.8509762773,2.29002175,3,0.230535,0.1113658537,0.1474766217,-0.11,0.47,0.58,0.11,0.24,0.1848018055,0.3363862216,2.3157228,2,0.14852,-0.198195122,0.1898964056,-0.42,0.14,0.56,-0.26,0.28,0.2744848834,0.6106900819,1.930080016,1,0.244335,0.4516097561,0.01730202025,0.43,0.48,0.05,0.45,0.03,0.4519410711,0.2597264569,1.755925374,0,0.45009,-0.4720487805,0.03987416256,-0.52,-0.41,0.11,-0.48,0.07,0.4737298808,0.4201955247,1.712110158,0,0.47194,0.4529756098,0.02446349974,0.41,0.5,0.09,0.44,0.04,0.4536357193,0.565225438,2.044674614,0,0.451635,0.604,0.01891186232,0.57,0.63,0.06,0.6,0.03,0.6042960024,-0.2213731946,1.94787551,0,0.60308,0,0,0,0,0,0,0,0,0,0,0,0,32.0497561,17.5523263,-13.7,66.6,80.3,37.8,26.6,36.54136046,-0.6150391822,2.793718562,1,32.5824,-53.47707317,14.13190168,-75.6,-21.8,53.8,-57.9,18.6,55.31281949,0.7378726906,2.433695782,0,53.34415,274.2190244,235.9172438,-69.8,600.6,670.4,244.5,495.2,361.7361183,-0.01401157274,1.519939953,2,291.42785,1.322926829,3.018368356,-3.4,6.7,10.1,0.9,5.2,3.295555026,0.2242828065,1.87445764,6,2.6471,-8.865365854,13.42713381,-44,3.4,47.4,-2,18.1,16.08983015,-1.182425088,3.062097404,3,9.78355,-0.3492682927,0.9083686537,-2.4,1.6,4,-0.3,1.3,0.9732019067,-0.3998558022,2.726547969,15,0.71255,0,0,0,0,0,0,0,0,0,0,0,0,"Level-walk" "SetID=0001"
0.106,1.095,-0.1589393939,0.586553352,-2.37,1.28,3.65,-0.105,0.415,0.6077059862,-1.540374531,7.100668239,13,0.37114,-0.01015151515,0.7717391335,-3.24,2.54,5.78,-0.15,0.3775,0.7718058975,0.1871085567,7.610758737,10,0.50238,-0.04136363636,0.5197412518,-1.71,1.64,3.35,0,0.21,0.5213846173,-0.8316573687,6.445818529,14,0.297075,-0.1516666667,0.3032013532,-0.79,0.19,0.98,0.02,0.44,0.3390189351,-0.9169946158,2.24940194,3,0.220435,0.1125252525,0.1537993146,-0.17,0.47,0.64,0.11,0.23,0.1905679974,0.1319175222,2.364506184,2,0.153875,-0.2583333333,0.1672859706,-0.49,0.14,0.63,-0.31,0.23,0.3077672937,0.9396046344,2.973850738,1,0.276915,0.4516666667,0.01871503474,0.43,0.5,0.07,0.45,0.0275,0.4520542338,0.6127905815,2.467286353,0,0.44681,-0.4841414141,0.03576042904,-0.53,-0.41,0.12,-0.495,0.05,0.4854603147,0.7322101618,2.376824024,0,0.479365,0.443989899,0.02255722015,0.4,0.49,0.09,0.44,0.02,0.4445625474,0.4648876139,2.732855066,0,0.438795,0.6008585859,0.02237806922,0.56,0.63,0.07,0.6,0.04,0.6012751601,-0.2427004008,1.76542714,0,0.594065,0,0,0,0,0,0,0,0,0,0,0,0,24.22676768,22.19513644,-38.4,52.4,90.8,29.55,27.475,32.85666376,-1.051968047,3.283436244,1,29.49935,-49.07020202,15.72486518,-75.6,-16.5,59.1,-53.2,26.4,51.52820695,0.4840242765,1.960873987,0,48.3124,309.9964646,251.1319653,-69.8,600.6,670.4,374.35,519.6,398.954975,-0.2818336729,1.440154804,2,327.9803,1.941919192,3.367493201,-3.4,6.9,10.3,2,6.625,3.887294767,-0.01100762725,1.638903212,5,3.23685,-13.6510101,16.72830644,-51.5,1.8,53.3,-3.45,24.875,21.59134811,-0.9120408801,2.394846643,3,14.1335,0.02171717172,0.8417652692,-2,1.8,3.8,-0.1,1,0.8420453693,0.2155895061,2.715184285,15,0.64985,0,0,0,0,0,0,-0,0,0,0,0,0,"Level-walk" "SetID=0001"
0.204,1.184,-0.22165,0.605369125,-2.37,1.28,3.65,-0.14,0.42,0.6446708462,-1.344373789,5.771895835,13,0.384135,-0.0597,0.793731636,-3.24,2.54,5.78,-0.17,0.24,0.7959736177,0.2661425456,6.900291235,8,0.513335,0.0095,0.617361118,-1.71,1.96,3.67,0,0.2,0.617434207,0.1911456756,5.82776183,15,0.32423,-0.10895,0.2927787518,-0.79,0.19,0.98,0.03,0.2,0.3123931817,-1.308020084,3.073292902,4,0.181665,0.07815,0.1850515536,-0.36,0.47,0.83,0.09,0.28,0.2008768279,-0.1121844787,2.360959782,1,0.16085,-0.31995,0.1381828408,-0.6,0.01,0.61,-0.35,0.17,0.3485147056,0.3905659893,2.546045749,1,0.31423,0.456,0.02507987241,0.43,0.52,0.09,0.45,0.03,0.4566891722,0.8888612932,2.719667577,0,0.44639,-0.49525,0.02964688011,-0.53,-0.42,0.11,-0.5,0.04,0.4961365739,0.7538243026,2.559169837,0,0.486095,0.4349,0.0225386335,0.38,0.48,0.1,0.44,0.02,0.4354836392,-0.1899751881,2.950060652,0,0.42609,0.59545,0.02556946421,0.55,0.63,0.08,0.59,0.05,0.5959987416,-0.06738354875,1.663601097,0,0.5837,0,0,0,0,0,0,0,0,0,0,0,0,17.512,29.36218752,-49,52.4,101.4,24.35,44.4,34.18783702,-0.850715643,2.419608419,1,30.7458,-43.958,18.07634189,-75.6,-7,68.6,-49.6,32.2,47.52956869,0.3659974125,1.844586516,0,43.1691,357.733,235.6253968,-69.8,600.6,670.4,453.45,402.625,428.3599268,-0.665404955,1.898983332,1,370.67195,2.8395,3.350401431,-3.4,7.4,10.8,3.05,6.1,4.391804868,-0.2836518468,1.778007845,5,3.6264,-18.707,19.69712545,-54.7,1.8,56.5,-11.85,35.05,27.16484125,-0.5695418229,1.779993972,2,18.75615,0.26,0.859651092,-1.4,2.1,3.5,0.1,1.1,0.8981091248,0.3301273264,2.261017027,15,0.70435,0,0,0,0,0,0,0,0,0,0,0,0,"Level-walk" "SetID=0001"
0.303,1.286,-0.3018592965,0.6236124782,-2.08,1.28,3.36,-0.16,0.45,0.6928286641,-1.174551604,4.209442656,12,0.428755,-0.2502512563,0.6738246325,-3.24,1.42,4.66,-0.2,0.235,0.7187943563,-0.8246416744,6.814454599,7,0.489485,0.2614572864,0.703371198,-1.47,2.17,3.64,0.07,0.23,0.7503938664,1.09701856,4.674517782,16,0.40135,-0.03638190955,0.2009499422,-0.7,0.19,0.89,0.03,0.085,0.2042168519,-1.985012968,5.925267803,5,0.11544,0.0009045226131,0.2016594122,-0.41,0.27,0.68,0.03,0.31,0.2016614407,-0.5092342159,2.220204974,1,0.16551,-0.3893467337,0.1605927318,-0.92,-0.08,0.84,-0.35,0.175,0.4211661246,-0.8877024102,4.087409548,0,0.38044,0.4645728643,0.03353080737,0.43,0.55,0.12,0.45,0.05,0.465781345,0.7873208987,2.436192971,0,0.456435,-0.5049748744,0.02307676444,-0.53,-0.45,0.08,-0.51,0.03,0.50550189,0.6947851934,2.347513427,0,0.496665,0.4235678392,0.02672837821,0.35,0.46,0.11,0.44,0.03,0.424410321,-1.075748063,3.296384465,0,0.41653,0.5881407035,0.0273275369,0.54,0.63,0.09,0.59,0.05,0.5887752384,0.195316759,1.783922812,0,0.57818,0,0,0,0,0,0,0,0,0,0,0,0,11.92864322,34.07821677,-49,52.4,101.4,24.4,67.15,36.10564204,-0.5273602966,1.64510322,1,33.12075,-42.58844221,18.36979214,-75.6,-7,68.6,-45.6,33.1,46.38129659,0.181479384,1.705044764,0,41.7091,382.8658291,203.9776186,-51.6,600.6,652.2,458.6,354.8,433.8123004,-0.6521844127,1.982883009,2,384.59795,3.410552764,2.816701659,-2.5,7.4,9.9,3.6,5.25,4.423310795,-0.2362068084,1.787019399,6,3.6634,-20.95678392,19.42098905,-54.7,1.8,56.5,-17.8,37.6,28.57204242,-0.3497260131,1.655842056,2,21.2958,0.1703517588,0.9598342491,-1.7,2.1,3.8,0.1,1.2,0.9748340923,0.1412552843,2.158522312,14,0.7909,0,0,-0,-0,0,0,0,0,0,0,0,0,"Level-walk" "SetID=0001"
0.412,1.4,-0.83905,1.756938416,-7.09,1.28,8.37,-0.16,0.92,1.947007319,-2.315622298,7.423303715,11,0.936135,-0.38595,0.5358256223,-3.24,0.98,4.22,-0.225,0.54,0.6603533145,-1.052565032,6.114697797,6,0.454855,0.27145,0.6771900749,-1.26,2.17,3.43,0.07,0.2475,0.7295693935,1.357003665,4.747037853,16,0.379255,0.0617,0.1397930971,-0.35,0.51,0.86,0.04,0.07,0.1528037958,0.9197644131,6.24341819,5,0.095665,-0.02045,0.2021813481,-0.41,0.27,0.68,-0.02,0.3325,0.2032129425,-0.2909387834,2.074590158,2,0.167505,-0.5987,0.5739889459,-2.95,-0.23,2.72,-0.41,0.21,0.8294003858,-2.779291891,9.982009116,0,0.586925,0.4812,0.04813065551,0.43,0.63,0.2,0.47,0.07,0.4836010753,1.062253427,3.401294432,0,0.47554,-0.51385,0.02024049159,-0.56,-0.47,0.09,-0.52,0.03,0.5142484808,0.350194867,2.567480614,0,0.50803,0.4093,0.0391983418,0.29,0.45,0.16,0.43,0.05,0.4111727131,-1.257590754,3.593898558,0,0.404185,0.57515,0.03370426531,0.46,0.63,0.17,0.58,0.04,0.5761367025,-0.7282428556,4.018886189,0,0.567975,0.9755,3.524762368,0,21.4,21.4,0,0,3.657259903,4.047573827,19.16550137,0,0.8994,7.1055,34.73274708,-49,52.4,101.4,9.45,67.7,35.45210643,-0.1638597972,1.367946329,1,32.23025,-42.3725,18.08806219,-75.6,-7,68.6,-45.65,32.9,46.07175653,0.1924832392,1.742608875,0,41.64655,373.181,219.0587221,-76.4,600.6,677,453.45,359.625,432.7248346,-0.7470296033,2.171784699,1,384.2374,3.3005,2.958842637,-2.2,7.4,9.6,3.55,5.3,4.432612097,-0.3110060176,1.855081998,4,3.7404,-20.8305,19.45667288,-54.7,2.5,57.2,-17.7,37.325,28.50389184,-0.3538571581,1.660017677,2,21.36315,-0.068,1.307048584,-3.1,2.1,5.2,0.1,1.5,1.308816259,-0.5612610436,2.693019977,14,1.02235,-2.0531,7.556367407,-44.94,-0,44.94,0,0,7.830319789,-4.085499282,19.3293333,1,1.909915,"Level-walk" "SetID=0001"
0.5,1.493,-1.3632,2.167616147,-7.09,0.41,7.5,-0.23,1.785,2.560639373,-1.434609996,3.528322546,9,1.421435,-0.5798,0.7181684761,-3.94,0.32,4.26,-0.25,0.86,0.9230027086,-2.295612815,9.730982922,3,0.584785,0.0463,0.9753693198,-2.95,2.17,5.12,0.05,0.2225,0.9764676134,-0.6586585467,5.30710135,15,0.52122,0.0879,0.136171179,-0.09,0.51,0.6,0.05,0.0625,0.1620771421,1.709835694,5.322687712,5,0.10349,-0.014,0.212701669,-0.41,0.38,0.79,-0.02,0.3025,0.2131619103,-0.1112092446,2.181514086,2,0.173025,-0.7462,0.7282977139,-2.96,-0.24,2.72,-0.42,0.3575,1.042704177,-1.951158879,5.506168003,0,0.747305,0.5021,0.06594383974,0.43,0.66,0.23,0.48,0.08,0.5064118877,1.087326204,3.114517512,0,0.49798,-0.523,0.02286919325,-0.58,-0.48,0.1,-0.52,0.02,0.5234997612,-0.6175281647,3.342406107,0,0.519205,0.3928,0.0554270692,0.26,0.44,0.18,0.415,0.08,0.3966913158,-1.143335406,3.115809521,0,0.390585,0.556,0.05169139193,0.41,0.62,0.21,0.57,0.04,0.5583977077,-1.530501878,4.673459966,0,0.552755,4.1095,10.14386809,0,40.9,40.9,0,0,10.94468136,2.472936228,7.775704681,0,3.84955,2.7295,33.29969189,-49,52.4,101.4,-5.8,67.7,33.41137007,0.1168310309,1.497141052,1,29.49,-39.465,15.97901671,-63.8,-7,56.8,-39.15,30.125,42.57716759,0.1780696031,1.766540656,0,39.15615,349.849,250.4009822,-82.7,600.6,683.3,453.45,421.425,430.226655,-0.7204591364,1.905505284,1,376.3088,3.271,2.996240811,-2.2,7.4,9.6,3.55,5.3,4.435865192,-0.3185529146,1.837608247,6,3.76235,-20.758,19.54138265,-54.7,3,57.7,-17.7,37.325,28.50894947,-0.3452254296,1.660105295,2,21.4478,-0.03,1.293213053,-3.1,2.1,5.2,0.1,1.2,1.293560977,-0.6662693337,2.909716284,14,1.006,-2.70175,8.626408606,-44.94,4.09,49.03,0,0,9.039600572,-3.438286205,14.23869194,6,2.916415,"Level-walk" "SetID=0001"
0.602,1.598,-1.4746,2.196260649,-7.09,1.18,8.27,-0.285,2.04,2.645374454,-1.231914245,3.13966082,8,1.600685,-0.6253,0.6917968705,-3.94,-0.06,3.88,-0.275,0.82,0.9325143431,-2.450519878,10.54486477,0,0.615835,-0.1005,1.098265337,-2.95,2.17,5.12,0.05,0.2575,1.102854025,-0.4534487286,3.667189566,14,0.67695,0.0614,0.1504660759,-0.18,0.51,0.69,0.04,0.09,0.1625115381,1.4379233,4.935613316,5,0.10499,-0.0031,0.2284149513,-0.41,0.38,0.79,-0.02,0.3025,0.2284359867,0.05649089683,2.17226131,2,0.18413,-0.4943,1.166602122,-2.96,3.34,6.3,-0.42,0.4075,1.267001579,0.7751888965,5.60095858,1,0.893025,0.5231,0.07209292614,0.44,0.66,0.22,0.5,0.1225,0.5280445057,0.6373302231,1.990405495,0,0.519835,-0.5321,0.02380315105,-0.58,-0.5,0.08,-0.53,0.025,0.5326321432,-0.7245118993,2.488317846,0,0.52954,0.377,0.06057227088,0.26,0.44,0.18,0.4,0.1,0.3818350429,-0.6588022982,2.027034532,0,0.376215,0.5368,0.06004798082,0.41,0.6,0.19,0.56,0.0725,0.5401481278,-1.045785112,2.659201992,0,0.535795,8.742,15.44592943,0,43.2,43.2,0,9.7,17.74821963,1.418025131,3.246612219,0,8.2888,-2.0465,30.11885602,-49,52.4,101.4,-5.85,47.05,30.1883032,0.3661556027,1.946326384,8,25.31305,-36.5485,14.37410163,-59.9,-7,52.9,-34.65,22.4,39.27349806,-0.04606782754,2.03606139,0,36.5672,309.0075,283.3694526,-82.7,600.6,683.3,453.45,620.325,419.2658843,-0.430648983,1.345081838,1,353.90635,3.1225,3.112481928,-2.2,7.4,9.6,3.55,6.1,4.408803693,-0.2341431486,1.625121126,7,3.6252,-20.488,19.82292501,-54.7,3,57.7,-17.7,39.475,28.50800765,-0.3270110879,1.646963528,1,21.49185,-0.0535,1.294869781,-3.1,2.1,5.2,0,1.2,1.295974537,-0.6100263383,2.848713371,8,1.02345,-2.3595,8.85536497,-44.94,8.18,53.12,0,0,9.164318251,-3.247957685,13.35889935,7,3.316235,"Level-walk" "SetID=0001"
0.703,1.7,-1.151492537,2.634035884,-7.09,5.11,12.2,-0.28,2.05,2.874731309,-0.3612545142,3.153094625,8,1.912505,-0.5690547264,0.7481277474,-3.94,0.94,4.88,-0.27,0.84,0.939956599,-1.879050188,8.687056833,3,0.636395,-0.1392537313,1.099567052,-2.95,2.17,5.12,0,0.65,1.108349811,-0.3464471082,3.577685135,14,0.70584,0.03368159204,0.1730251128,-0.28,0.51,0.79,0.03,0.14,0.1762729114,0.9536599253,4.084017995,5,0.122295,0.02263681592,0.2583327956,-0.41,0.47,0.88,-0.02,0.5,0.2593226922,0.1801622315,1.979798926,2,0.21081,-0.09014925373,1.754768763,-2.96,4.42,7.38,-0.42,0.45,1.757082895,1.104042853,3.8404237,1,1.25916,0.5308955224,0.06814671055,0.45,0.66,0.21,0.51,0.11,0.5352513707,0.5621705516,1.976534701,0,0.52993,-0.534278607,0.02245176123,-0.58,-0.49,0.09,-0.53,0.03,0.5347501393,-0.7568620376,2.534322938,0,0.532995,0.3735323383,0.05858157725,0.26,0.46,0.2,0.39,0.09,0.3780981473,-0.6191573679,2.062676735,0,0.37173,0.5309452736,0.05737718435,0.41,0.59,0.18,0.55,0.07,0.5340365389,-0.9990001237,2.59618891,0,0.52908,11.74726368,16.61079206,0,43.2,43.2,0,27.9,20.34494082,0.8994320548,2.031140486,0,11.69595,-6.004975124,26.18139697,-49,52.4,101.4,-5.8,27.8,26.86122249,0.4704368337,2.548533899,12,20.8986,-34.18258706,12.52720603,-59.9,-7,52.9,-33,15.9,36.40577082,-0.1253363107,2.477577426,0,34.0408,260.5845771,300.4793597,-83.2,600.6,683.8,348.6,635,397.7337896,-0.08621806581,1.108753203,1,317.3468,2.896517413,3.228439823,-2.2,7.4,9.6,3.5,6.2,4.337353665,-0.07829020926,1.422697627,8,3.3841,-19.64875622,20.43957752,-54.7,3,57.7,-17.6,40.2,28.35224771,-0.3356637554,1.594339192,1,20.8843,-0.07562189055,1.288198532,-3.1,2.1,5.2,-0.2,1.2,1.290416262,-0.5678278958,2.851365729,7,1.0141,-2.199154229,8.915355236,-44.94,8.18,53.12,0,0,9.182583422,-3.203660332,13.18303129,8,3.50392,"Level-walk" "SetID=0001"
0.804,1.798,-0.6641,3.268468478,-7.09,6.53,13.62,-0.285,2.1275,3.335253364,0.1629708514,2.825740189,7,2.462085,-0.4366,0.9289114274,-3.94,1.58,5.52,-0.27,0.87,1.026399532,-0.5961571119,5.683957929,3,0.75482,-0.1859,1.110730476,-2.95,2.17,5.12,-0.035,0.805,1.126179826,-0.2282675083,3.419082952,13,0.75281,0.0139,0.188243964,-0.29,0.51,0.8,0.02,0.1825,0.1887564568,0.8252171831,3.553664353,3,0.142765,0.0513,0.2818285117,-0.41,0.47,0.88,-0.02,0.5125,0.2864594212,0.07651777677,1.665004132,2,0.244565,0.2909,2.129068855,-2.96,4.46,7.42,-0.42,2.195,2.148850158,0.7927741155,2.483271272,1,1.642915,0.5274,0.07447979592,0.35,0.66,0.31,0.51,0.1125,0.532633082,0.1645524537,2.363217098,0,0.52403,-0.5296,0.03212226642,-0.58,-0.42,0.16,-0.53,0.03,0.5305732749,0.9250774345,4.850174494,0,0.52569,0.3784,0.06676406219,0.26,0.53,0.27,0.39,0.09,0.3842447137,-0.07721921706,2.48416236,0,0.37643,0.5328,0.0602176054,0.41,0.64,0.23,0.55,0.0725,0.5361921297,-0.7777190365,2.581844484,0,0.52982,12.9505,16.3149839,0,43.2,43.2,0,28.175,20.83012602,0.7693256612,1.912202889,0,13.0012,-9.5365,21.15426713,-49,43.4,92.4,-5.85,27.75,23.20447909,0.06991447061,2.540729759,12,17.00095,-32.842,11.77432954,-59.9,-7,52.9,-32.65,11.575,34.88884922,-0.3241743208,3.024089768,0,32.6011,206.638,300.6569677,-83.2,600.6,683.8,-1.65,636.125,364.8203329,0.2629652328,1.171086108,1,269.64095,2.5905,3.305655722,-2.2,7.4,9.6,0.2,6.2,4.199767851,0.1565655731,1.344541848,8,3.0113,-18.201,21.25080702,-54.7,3,57.7,-5.25,40.25,27.97987134,-0.4308729618,1.532321491,1,19.1954,-0.125,1.287351933,-3.1,2.1,5.2,-0.3,1.2,1.293406355,-0.4617016714,2.791811854,1,1.0277,-1.9868,9.027286401,-44.94,8.18,53.12,0,0,9.243336735,-3.15808197,12.90684078,8,3.76379,"Level-walk" "SetID=0001"
0.906,1.894,0.00608040201,3.882972067,-7.09,8.76,15.85,-0.23,5.255,3.882976828,0.1450339744,2.204030245,7,3.02723,-0.1907537688,1.219100886,-3.94,2.8,6.74,-0.26,1.245,1.233934346,0.09754762018,3.718174088,3,0.93384,-0.4383919598,1.351702603,-4.82,2.17,6.99,-0.08,1.325,1.42101634,-0.5358156015,3.936302925,12,0.995325,-0.004572864322,0.1971548723,-0.29,0.51,0.8,-0.02,0.255,0.1972078973,0.8985711632,3.373223223,4,0.153765,0.08824120603,0.2943563323,-0.41,0.47,0.88,0.11,0.515,0.3072981627,-0.2114687895,1.516655604,1,0.273395,0.4672361809,2.186762803,-2.96,4.46,7.42,-0.42,3.235,2.236121912,0.5658316388,2.104776719,2,1.727365,0.5119095477,0.09896637599,0.3,0.66,0.36,0.51,0.115,0.5213882705,-0.5234665218,2.657869074,0,0.507195,-0.5174874372,0.05114486857,-0.58,-0.4,0.18,-0.53,0.03,0.5200086973,1.16106316,3.420082009,0,0.51186,0.3912060302,0.08525782809,0.26,0.56,0.3,0.39,0.09,0.4003886303,0.3983418441,2.413613348,0,0.385335,0.5410050251,0.07098017966,0.41,0.66,0.25,0.55,0.075,0.5456414786,-0.2531469183,2.435989661,0,0.53384,13.09095477,16.27637615,0,43.2,43.2,1.6,28.45,20.88764031,0.7623432708,1.904636838,0,13.0475,-11.82964824,17.84335737,-49,23,72,-5.9,27.1,21.40854922,-0.5331722428,2.015471332,14,15.4895,-32.62462312,11.74366703,-59.9,-7,52.9,-32.3,10.3,34.67390588,-0.3779745333,3.093577185,0,32.31295,134.7,282.9207436,-83.2,600.6,683.8,-67.9,592.25,313.3500234,0.7626627409,1.713042479,1,219.74505,2.028643216,3.235207335,-2.2,7.4,9.6,0.2,6.2,3.818633237,0.5852350742,1.671286878,10,2.48415,-15.25226131,21.80450791,-54.7,3,57.7,0.4,40.3,26.60954791,-0.7323908225,1.73094684,3,16.5196,-0.2115577889,1.274653204,-3.1,2.1,5.2,-0.3,1.2,1.292090356,-0.2874805347,2.806999391,1,1.0125,-1.981658291,9.052646509,-44.94,8.18,53.12,0,0.33,9.267004823,-3.148789073,12.83420251,8,3.77296,"Level-walk" "SetID=0001"
