t_start_s,t_end_s,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_median,acc_x_iqr,acc_x_rms,acc_x_skewness,acc_x_kurtosis,acc_x_zcr,acc_x_abs_integral,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_median,acc_y_iqr,acc_y_rms,acc_y_skewness,acc_y_kurtosis,acc_y_zcr,acc_y_abs_integral,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_median,acc_z_iqr,acc_z_rms,acc_z_skewness,acc_z_kurtosis,acc_z_zcr,acc_z_abs_integral,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_median,gyro_x_iqr,gyro_x_rms,gyro_x_skewness,gyro_x_kurtosis,gyro_x_zcr,gyro_x_abs_integral,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_median,gyro_y_iqr,gyro_y_rms,gyro_y_skewness,gyro_y_kurtosis,gyro_y_zcr,gyro_y_abs_integral,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_median,gyro_z_iqr,gyro_z_rms,gyro_z_skewness,gyro_z_kurtosis,gyro_z_zcr,gyro_z_abs_integral,quat_w_mean,quat_w_std,quat_w_min,quat_w_max,quat_w_range,quat_w_median,quat_w_iqr,quat_w_rms,quat_w_skewness,quat_w_kurtosis,quat_w_zcr,quat_w_abs_integral,quat_x_mean,quat_x_std,quat_x_min,quat_x_max,quat_x_range,quat_x_median,quat_x_iqr,quat_x_rms,quat_x_skewness,quat_x_kurtosis,quat_x_zcr,quat_x_abs_integral,quat_y_mean,quat_y_std,quat_y_min,quat_y_max,quat_y_range,quat_y_median,quat_y_iqr,quat_y_rms,quat_y_skewness,quat_y_kurtosis,quat_y_zcr,quat_y_abs_integral,quat_z_mean,quat_z_std,quat_z_min,quat_z_max,quat_z_range,quat_z_median,quat_z_iqr,quat_z_rms,quat_z_skewness,quat_z_kurtosis,quat_z_zcr,quat_z_abs_integral,encoder_angle_mean,encoder_angle_std,encoder_angle_min,encoder_angle_max,encoder_angle_range,encoder_angle_median,encoder_angle_iqr,encoder_angle_rms,encoder_angle_skewness,encoder_angle_kurtosis,encoder_angle_zcr,encoder_angle_abs_integral,grf_x_mean,grf_x_std,grf_x_min,grf_x_max,grf_x_range,grf_x_median,grf_x_iqr,grf_x_rms,grf_x_skewness,grf_x_kurtosis,grf_x_zcr,grf_x_abs_integral,grf_y_mean,grf_y_std,grf_y_min,grf_y_max,grf_y_range,grf_y_median,grf_y_iqr,grf_y_rms,grf_y_skewness,grf_y_kurtosis,grf_y_zcr,grf_y_abs_integral,grf_z_mean,grf_z_std,grf_z_min,grf_z_max,grf_z_range,grf_z_median,grf_z_iqr,grf_z_rms,grf_z_skewness,grf_z_kurtosis,grf_z_zcr,grf_z_abs_integral,grt_x_mean,grt_x_std,grt_x_min,grt_x_max,grt_x_range,grt_x_median,grt_x_iqr,grt_x_rms,grt_x_skewness,grt_x_kurtosis,grt_x_zcr,grt_x_abs_integral,grt_y_mean,grt_y_std,grt_y_min,grt_y_max,grt_y_range,grt_y_median,grt_y_iqr,grt_y_rms,grt_y_skewness,grt_y_kurtosis,grt_y_zcr,grt_y_abs_integral,grt_z_mean,grt_z_std,grt_z_min,grt_z_max,grt_z_range,grt_z_median,grt_z_iqr,grt_z_rms,grt_z_skewness,grt_z_kurtosis,grt_z_zcr,grt_z_abs_integral,label
0,0.996,0.0005970149254,0.2295456074,-0.57,0.45,1.02,0.05,0.28,0.2295463837,-0.6775904472,2.903619494,16,0.179115,-0.01771144279,0.4108088567,-1.49,1.29,2.78,0.01,0.29,0.4111904813,-0.5607349887,6.280802631,19,0.250635,-0.003233830846,0.259296772,-0.9,1.07,1.97,-0.01,0.15,0.2593169366,0.4577316414,9.105095624,21,0.14083,0.0136318408,0.0385462671,-0.11,0.12,0.23,0.01,0.02,0.04088571622,-0.3115555124,5.630372045,9,0.02793,0.03890547264,0.03432064229,-0.05,0.15,0.2,0.04,0.02,0.05188007603,0.2022811802,5.353388684,2,0.04394,-0.07532338308,0.1072033447,-0.27,0.11,0.38,-0.08,0.18,0.1310197281,0.02901964948,1.900422708,2,0.10672,-0.2899502488,0.004516141579,-0.3,-0.28,0.02,-0.29,0,0.2899854174,0.0209630872,4.901977095,0,0.288715,0.6515920398,0.003658661952,0.65,0.66,0.01,0.65,0,0.6516023113,1.862954404,4.470599112,0,0.648855,-0.2515422886,0.004583059086,-0.26,-0.24,0.02,-0.25,0,0.2515840364,-0.5544679537,3.861396506,0,0.250835,-0.6510447761,0.005221747966,-0.66,-0.64,0.02,-0.65,0,0.6510657165,-0.1255414479,3.472029988,0,0.64841,0,0,0,0,0,0,0,0,0,0,0,0,-7.219900498,17.0214498,-38.6,28.1,66.7,-5.1,31.8,18.48936766,-0.106893029,1.877128109,7,15.1098,-2.806467662,34.94544587,-33.3,99.7,133,-16.3,24.9,35.05795841,1.85727956,5.202803207,1,26.16755,517.8099502,127.8487061,362.2,848.5,486.3,493.6,100.1,533.359575,1.448873345,4.367863284,0,513.9274,4.399502488,3.652171677,0.2,15.1,14.9,4.1,2.9,5.717864995,1.594168083,4.800335563,0,4.3144,-40.52587065,14.41404192,-77.8,-24.7,53.1,-38.1,8.8,43.01291429,-1.573693027,4.520300821,0,40.1563,2.366169154,4.199105537,-2,12.8,14.8,0.6,4.4,4.819880059,1.143822843,2.942296149,9,3.04595,"Level-walk" "SetID=0001"
0.111,1.099,-0.001592039801,0.2535370732,-0.57,0.54,1.11,0.03,0.35,0.2535420716,-0.3893089596,2.544042846,15,0.19928,-0.08089552239,0.4701817094,-1.49,1.29,2.78,0,0.37,0.47709006,-0.4902000561,4.373684612,17,0.301715,-0.0007462686567,0.2628469095,-0.9,1.07,1.97,-0.01,0.16,0.2628479688,0.4110942674,8.626694795,21,0.146575,0.0252238806,0.04778761707,-0.11,0.19,0.3,0.02,0.02,0.05403610365,0.2280727969,4.991305079,6,0.0358,0.0268159204,0.04631506793,-0.13,0.15,0.28,0.03,0.03,0.05351802598,-0.6835964756,5.183818508,3,0.04245,-0.08567164179,0.1208620432,-0.4,0.11,0.51,-0.08,0.19,0.148146089,-0.1959020832,2.067630312,2,0.11431,-0.2932338308,0.007122946575,-0.32,-0.29,0.03,-0.29,0,0.2933203299,-2.247616629,7.221019823,0,0.289455,0.6526368159,0.004406286532,0.65,0.66,0.01,0.65,0.01,0.6526516903,1.072642036,2.150560938,0,0.644685,-0.2500995025,0.005641887563,-0.26,-0.23,0.03,-0.25,0,0.2501631309,0.1637276183,3.741496509,0,0.24744,-0.6489552239,0.005221747966,-0.66,-0.64,0.02,-0.65,0,0.6489762317,0.1255414479,3.472029988,0,0.64107,0,0,0,0,0,0,0,0,0,0,0,0,-9.194029851,16.74806187,-38.6,28.1,66.7,-11.7,30.8,19.1056997,0.158451498,1.954009361,6,16.01175,12.2880597,52.33413749,-33.3,152.2,185.5,-14.2,40.4,53.75740282,1.297265178,3.186163439,1,36.7779,545.8686567,155.296487,362.2,848.5,486.3,493.6,130.3,567.529373,0.9196465648,2.365146433,0,537.17685,5.847263682,5.640745952,0.2,20.8,20.6,4.1,4.1,8.124561986,1.281606895,3.306291116,0,5.65735,-45.68109453,19.49087912,-91.8,-24.7,67.1,-39.1,20.7,49.66544841,-1.045295798,2.631249229,0,44.8025,4.332835821,6.042635946,-1.7,21.5,23.2,1.5,9.2,7.435517159,1.138013633,3.188591351,9,4.59765,"Level-walk" "SetID=0001"
0.202,1.2,-0.0268159204,0.271171791,-0.67,0.54,1.21,0.02,0.37,0.2724944657,-0.3197161954,2.338185062,16,0.222635,-0.166318408,0.5172847,-1.49,1.29,2.78,-0.02,0.68,0.5433647703,-0.204015657,3.21577058,15,0.374255,0.01651741294,0.2728745287,-0.9,1.07,1.97,0,0.17,0.2733739807,0.3071419006,7.534186328,21,0.15568,0.04960199005,0.08757564347,-0.11,0.33,0.44,0.02,0.07,0.1006471597,1.499755235,5.395692067,6,0.05936,0.006467661692,0.07170253782,-0.2,0.15,0.35,0.03,0.06,0.07199364262,-1.078686743,3.88055372,3,0.053655,-0.1264676617,0.1855339483,-0.64,0.11,0.75,-0.08,0.25,0.2245371137,-1.023848579,3.51740347,2,0.154655,-0.2975621891,0.0142307691,-0.35,-0.29,0.06,-0.29,0.01,0.2979022846,-2.029465365,6.321992302,0,0.296415,0.6536318408,0.004809172527,0.65,0.66,0.01,0.65,0.01,0.6536495326,0.5689790484,1.323737158,0,0.652195,-0.2478606965,0.008916444504,-0.26,-0.22,0.04,-0.25,0,0.248021023,1.084131518,4.285925421,0,0.24776,-0.6466169154,0.005598286202,-0.65,-0.63,0.02,-0.65,0.01,0.6466411494,1.425774895,4.055284087,0,0.64541,0,0,0,0,0,0,0,0,0,0,0,0,-11.43930348,19.00389584,-51,28.1,79.1,-12.6,33.8,22.18120198,0.02513655698,1.92034875,6,18.0379,31.89751244,71.54093873,-33.3,207.5,240.8,-9.7,112.3,78.32979774,1.005290017,2.578308333,1,52.9601,582.2706468,187.032374,362.2,939.2,577,493.6,370,611.5719214,0.6006737081,1.707146039,0,578.42325,7.870646766,7.878314849,0.2,27.5,27.3,4.4,11.9,11.13619887,1.026677244,2.672709872,0,7.6836,-52.19751244,26.09426928,-115.4,-24.7,90.7,-40.4,44.6,58.35658655,-0.8596836863,2.377821026,0,51.552,6.985074627,8.575870124,-1.6,28.6,30.2,2.5,11.6,11.06059745,1.0888287,3.047459691,8,7.0768,"Level-walk" "SetID=0001"
0.319,1.3,-0.06190954774,0.3439664759,-1.23,0.65,1.88,-0.01,0.435,0.3494935316,-0.6772923098,4.16786261,17,0.248975,-0.3231658291,0.6416706584,-2.14,1.29,3.43,-0.16,0.905,0.7184548607,-0.375560471,3.152067965,13,0.507545,0.07613065327,0.3332173043,-0.9,1.09,1.99,0.02,0.21,0.3418035229,0.6178251304,5.634367273,18,0.204875,0.08733668342,0.1288700105,-0.11,0.43,0.54,0.03,0.1,0.1556765104,1.208488926,3.453007758,4,0.096075,-0.03251256281,0.1277234709,-0.45,0.15,0.6,0.02,0.1,0.1317966303,-1.611277543,5.202267968,3,0.080675,-0.1910552764,0.2550916516,-0.82,0.11,0.93,-0.16,0.29,0.3187065568,-0.8729993517,2.659293753,2,0.21621,-0.3054773869,0.02545363785,-0.39,-0.29,0.1,-0.29,0.02,0.3065360038,-1.703280827,4.788040398,0,0.299005,0.6538190955,0.004858545514,0.65,0.66,0.01,0.65,0.01,0.6538371472,0.4861144222,1.236307231,0,0.641395,-0.244120603,0.01389499486,-0.26,-0.2,0.06,-0.25,0.01,0.2445157248,1.256651774,4.00999237,0,0.24,-0.6445728643,0.00734597058,-0.65,-0.63,0.02,-0.65,0.01,0.6446147227,0.9551597776,2.474354254,0,0.63236,0,0,0,0,0,0,0,0,0,0,0,0,-12.43919598,20.37489024,-51,28.1,79.1,-12.5,37.7,23.8719448,-0.06015761106,1.826119211,6,18.86065,53.45778894,85.65479406,-33.3,217,250.3,11.5,151.1,100.9677124,0.609967718,1.829605927,1,71.78775,616.3844221,204.7286703,362.2,939.2,577,492.1,390,649.4948685,0.2457012086,1.300347466,0,604.65885,10.20954774,9.671179757,0.2,29.2,29,5,16.7,14.06295072,0.6489937328,1.892404879,0,9.95175,-59.93015075,32.31296231,-121.3,-24.7,96.6,-40.4,52.25,68.08634593,-0.56302115,1.829462844,0,58.4844,9.673366834,9.875508725,-1.6,28.8,30.4,7.4,16.1,13.82388146,0.6777547107,2.062891145,5,9.6724,"Level-walk" "SetID=0001"
0.401,1.4,-0.2356930693,0.5924481553,-2.44,0.65,3.09,-0.09,0.5,0.6376096295,-1.530179198,5.431486226,16,0.394915,-0.5570792079,0.9029499968,-3.62,1.29,4.91,-0.275,1.0075,1.06096934,-1.136518941,4.803733417,11,0.69706,0.1964356436,0.513201144,-0.9,2.34,3.24,0.05,0.335,0.5495110338,1.620492988,6.682214314,16,0.29703,0.09579207921,0.1319188782,-0.11,0.43,0.54,0.04,0.15,0.1630297914,0.9824408296,2.953891387,5,0.11033,-0.09044554455,0.2054873451,-0.72,0.15,0.87,0,0.2,0.2245115711,-1.500894686,4.358431159,3,0.133345,-0.289009901,0.3504043067,-1.27,0.11,1.38,-0.215,0.575,0.4542134971,-0.9324172235,2.926567858,1,0.313915,-0.317029703,0.03952802125,-0.43,-0.29,0.14,-0.295,0.04,0.3194844238,-1.414723164,3.743177169,0,0.315755,0.6527722772,0.006389783287,0.63,0.66,0.03,0.65,0.01,0.6528035503,-0.4344822051,2.855781429,0,0.652265,-0.2374752475,0.02333700332,-0.26,-0.16,0.1,-0.25,0.02,0.2386191713,1.540293632,4.788456414,0,0.238045,-0.6419306931,0.009684894256,-0.65,-0.62,0.03,-0.65,0.01,0.6420037476,0.8839044674,2.586145479,0,0.64138,0,0,0,0,0,0,0,0,0,0,0,0,-12.08019802,19.8128847,-51,28.1,79.1,-12.9,35.275,23.20520597,-0.05679191378,1.931137711,6,18.86105,64.5539604,83.92112934,-33.3,217,250.3,52.4,157,105.8771446,0.351499385,1.670534372,1,81.6662,618.0866337,206.0982787,276.8,939.2,662.4,551.25,394.1,651.5424677,0.1622195234,1.32566805,0,621.4901,11.48019802,9.596864379,0.2,29.2,29,10.35,18.125,14.96311306,0.3649995985,1.671579537,0,11.53865,-64.20990099,32.70541332,-121.3,-24.7,96.6,-66.45,58.9,72.05938832,-0.2658743469,1.592207712,0,64.3832,10.70049505,9.366305196,-0.1,28.8,28.9,9.1,15.7,14.22069855,0.5896182831,2.045904154,5,10.8281,"Level-walk" "SetID=0001"
0.5,1.497,-0.5562561576,1.279852121,-8.34,0.65,8.99,-0.21,0.58,1.395507923,-3.576523025,18.84443836,14,0.64315,-1.03453202,1.637370279,-9.21,1.29,10.5,-0.71,1.15,1.936811279,-2.374669931,10.26040959,9,1.106615,0.2018719212,0.8155752561,-4.58,2.65,7.23,0.06,0.46,0.8401876403,-1.208607933,14.45937437,17,0.448485,0.1074876847,0.1472743949,-0.11,0.61,0.72,0.06,0.18,0.1823275891,0.9723674423,3.343900918,6,0.12743,-0.1415763547,0.2468490651,-0.72,0.15,0.87,-0.04,0.29,0.284566908,-1.129435433,3.014948694,3,0.183765,-0.4552216749,0.5466524415,-2.63,0.11,2.74,-0.25,0.62,0.7113758957,-1.627471909,5.872849917,1,0.466665,-0.332364532,0.05548110337,-0.49,-0.29,0.2,-0.3,0.07,0.336963403,-1.202969148,3.208259532,0,0.33078,0.6508866995,0.009215641578,0.63,0.66,0.03,0.65,0.01,0.6509519365,-0.9315298668,3.130379555,0,0.649025,-0.2260591133,0.03949479548,-0.26,-0.1,0.16,-0.24,0.03,0.229483249,1.602597991,4.696424879,0,0.22615,-0.6386699507,0.01234577503,-0.65,-0.6,0.05,-0.64,0.02,0.6387892643,0.9399837124,3.242327232,0,0.63676,0.1339901478,0.7899475196,0,6.9,6.9,0,0,0.8012305806,6.655321563,48.85617313,0,0.09415,-9.19408867,20.52376166,-51,28.1,79.1,-5.9,33.25,22.48902086,-0.2452159133,1.979363283,9,18.1281,64.11724138,84.10198037,-43.8,217,260.8,52.1,156.6,105.7552067,0.3462234249,1.683426167,2,81.7725,577.6236453,268.8414209,-78.5,939.2,1017.7,542.4,426.25,637.1222687,-0.5581346683,2.604735582,1,587.66665,11.28719212,9.790285398,-2.8,29.2,32,10.3,18.55,14.94156599,0.3207783783,1.690862526,1,11.64445,-61.98374384,35.46271173,-121.3,2.8,124.1,-66,62.1,71.41140262,-0.07804775023,1.738289161,1,62.6743,10.54285714,9.503470235,-2.9,28.8,31.7,9.1,15.7,14.19393473,0.553003463,2.049526679,3,10.9481,"Level-walk" "SetID=0001"
0.615,1.595,-0.996080402,1.718185239,-8.34,0.65,8.99,-0.37,1.36,1.986035418,-1.903506733,6.34710794,13,1.094425,-1.942613065,2.896476842,-11.31,1.29,12.6,-0.89,2.055,3.487595679,-1.815178458,5.419302223,6,1.98855,0.0175879397,1.05419059,-4.58,2.65,7.23,0.05,0.51,1.054337297,-1.030127318,6.803747326,15,0.61665,0.1020603015,0.1623578664,-0.25,0.61,0.86,0.08,0.185,0.1917716921,0.4750182006,3.12798756,6,0.14393,-0.09050251256,0.3533340822,-0.72,1.07,1.79,-0.04,0.305,0.3647405631,0.7616598952,4.984664045,4,0.230775,-0.708040201,0.7640060238,-2.79,0.04,2.83,-0.4,0.825,1.041645876,-1.37664091,3.952603744,1,0.695285,-0.3573366834,0.07906769704,-0.55,-0.29,0.26,-0.32,0.115,0.3659797891,-1.064043248,2.907349022,0,0.348945,0.65,0.01032146614,0.63,0.66,0.03,0.65,0.015,0.650081943,-0.7677715736,2.426397294,0,0.6368,-0.2064824121,0.06274049963,-0.26,-0.04,0.22,-0.23,0.065,0.2158039777,1.363480249,3.65858925,0,0.203705,-0.6284924623,0.02936066992,-0.65,-0.52,0.13,-0.64,0.03,0.6291778954,2.216401386,7.551278647,0,0.6166,2.224623116,6.683509048,0,32.3,32.3,0,0,7.044021664,3.148448342,11.88861367,0,1.9456,-6.505025126,23.28371387,-51,30.8,81.8,-4.1,35.6,24.17533213,-0.1512587905,1.799164703,4,20.16395,65.71557789,84.19118175,-43.8,217,260.8,57.3,156.2,106.8021173,0.3109341447,1.670538174,2,81.45485,533.5613065,333.820159,-89.1,939.2,1028.3,563.9,449.85,629.3834812,-0.6552979996,2.191621737,1,551.08915,11.26633166,10.03780903,-2.8,29.2,32,11.2,18.75,15.08932865,0.2460249098,1.66943877,1,11.61535,-59.64321608,39.42053697,-121.3,3.1,124.4,-69.1,63.5,71.4933001,0.1262112115,1.766851894,1,59.83135,10.54572864,9.699949197,-2.9,28.8,31.7,9.1,16.1,14.32834279,0.4861197245,1.994026874,3,10.83685,"Level-walk" "SetID=0001"
0.715,1.697,-1.325075377,1.847524724,-8.34,0.65,8.99,-0.45,2.44,2.273581395,-1.290152432,4.086164225,12,1.43401,-2.13839196,2.871137156,-11.31,1.29,12.6,-1.03,2.435,3.579964908,-1.695071467,5.121846239,5,2.21146,-0.1527638191,1.209429825,-4.58,2.65,7.23,0.05,0.985,1.219039493,-0.7587108038,4.382228938,12,0.79492,0.07899497487,0.1878735675,-0.29,0.61,0.9,0.08,0.25,0.2038055039,0.1774385226,2.651636274,5,0.163405,0.02587939698,0.5246574432,-0.72,1.27,1.99,-0.04,0.335,0.5252953225,1.031684073,3.448418102,4,0.34884,-0.6275879397,0.9477528095,-2.79,2.65,5.44,-0.48,0.825,1.136706651,0.1505995443,5.061444135,1,0.810385,-0.3818592965,0.09139928582,-0.55,-0.29,0.26,-0.35,0.15,0.3926453257,-0.6459711375,1.929827964,0,0.37457,0.6527135678,0.0134378662,0.63,0.69,0.06,0.65,0.015,0.6528518805,0.1190556246,3.229733856,0,0.64072,-0.1875376884,0.07260042317,-0.26,-0.04,0.22,-0.22,0.12,0.2010999901,0.8579097519,2.225147605,0,0.18464,-0.6136180905,0.04694672351,-0.65,-0.5,0.15,-0.63,0.02,0.6154113712,1.541191548,3.912792162,0,0.60283,6.136683417,12.83997022,0,41.3,41.3,0,0,14.23108283,1.88122829,4.902756306,0,5.87805,-4.380904523,25.38190582,-51,37.2,88.2,-4.1,47.95,25.75720224,-0.1047944739,1.663466157,4,22.35275,66.67487437,83.15330742,-43.8,217,260.8,57.3,153.7,106.5833543,0.3287893017,1.680545867,2,80.66915,486.6648241,380.3174739,-89.1,939.2,1028.3,563.9,838.35,617.6439363,-0.4827589349,1.639684553,1,519.8145,11.21708543,10.08968375,-2.8,29.2,32,11.2,19.15,15.08723711,0.2406246018,1.662846853,2,11.5634,-56.69497487,42.73739227,-121.3,3.1,124.4,-69.1,86.05,70.99862586,0.1577667626,1.627268703,1,57.42335,10.35226131,9.882565859,-2.9,28.8,31.7,9.1,17.75,14.31203766,0.4654894054,1.952643059,10,10.63595,"Level-walk" "SetID=0001"
0.805,1.8,-1.219852217,1.982207178,-8.34,2.93,11.27,-0.48,2.44,2.327484636,-0.8613672262,3.839309179,9,1.587085,-1.634433498,3.46096929,-11.31,6.93,18.24,-0.99,2.84,3.827490206,-0.6222067486,4.330328568,5,2.52071,-0.1683251232,1.202638787,-4.58,2.65,7.23,0.02,0.99,1.214361313,-0.7136181876,4.361880148,12,0.811265,0.0163546798,0.2718292573,-0.86,0.61,1.47,0.06,0.315,0.2723208047,-0.7958679546,3.882883744,5,0.208645,0.1082758621,0.5745801489,-0.72,1.27,1.99,-0.04,0.77,0.5846930903,0.6370290084,2.313345199,3,0.435615,-0.1838423645,1.736219214,-2.79,5.14,7.93,-0.44,0.835,1.745925306,1.441436146,4.878567422,1,1.205305,-0.3943842365,0.08817800038,-0.55,-0.29,0.26,-0.38,0.16,0.4041216224,-0.4290249318,1.785836479,0,0.39404,0.6566502463,0.0171808932,0.63,0.69,0.06,0.66,0.01,0.6568749722,0.3222908315,2.632631695,0,0.653285,-0.1821674877,0.07020190114,-0.28,-0.04,0.24,-0.21,0.11,0.1952262802,0.7770884269,2.168920916,0,0.179915,-0.6035960591,0.0497320345,-0.65,-0.5,0.15,-0.63,0.07,0.6056413772,1.035231711,2.530531911,0,0.5999,9.766009852,15.52000703,0,41.3,41.3,0,21.1,18.33699993,1.13216305,2.48224724,0,9.7327,-1.12955665,27.83872296,-51,40.2,91.2,-0.1,52.05,27.86162942,-0.1314256026,1.543211916,4,25.61055,63.60591133,84.36258109,-43.8,217,260.8,52.1,152.8,105.6539495,0.359355906,1.665153621,1,81.81385,429.6064039,414.2381147,-89.1,939.2,1028.3,542.4,897.2,596.7871295,-0.2138282828,1.2698693,1,485.2758,10.71871921,10.34064363,-2.8,29.2,32,10.3,19.45,14.89361784,0.2789581436,1.614756443,2,11.22995,-52.45517241,45.63061057,-121.3,3.1,124.4,-66,92.3,69.52479942,0.05038956947,1.420954729,1,54.23395,9.56453202,10.24070518,-2.9,28.8,31.7,9.1,17.5,14.01257704,0.5418041075,1.894204495,14,9.9515,"Level-walk" "SetID=0001"
0.903,1.9,-0.9231372549,2.266538771,-8.34,3.62,11.96,-0.39,2.73,2.447321064,-0.5265737904,3.166542968,9,1.778685,-1.011764706,4.221806233,-11.31,6.93,18.24,-0.985,2.94,4.341349524,-0.07017751289,3.2595744,3,3.12075,-0.045,1.241710356,-4.58,2.65,7.23,0.11,1.04,1.242525496,-0.8399773659,4.210800187,12,0.862595,-0.06058823529,0.366260444,-0.86,0.61,1.47,0.05,0.44,0.3712379925,-0.7905355404,2.691660521,3,0.282575,0.1150980392,0.5753579365,-0.72,1.27,1.99,-0.035,0.77,0.5867574573,0.5968843033,2.262408889,3,0.44896,0.3878431373,2.424167384,-2.79,5.67,8.46,-0.42,2.04,2.454996905,1.066298985,2.853933338,1,1.72644,-0.3883333333,0.09783021841,-0.55,-0.15,0.4,-0.38,0.16,0.4004666396,-0.0006759497035,2.331943974,0,0.390395,0.6546078431,0.02027611212,0.59,0.69,0.1,0.66,0.02,0.6549217885,-0.257166179,3.351034788,0,0.653145,-0.193627451,0.08780313559,-0.42,-0.04,0.38,-0.21,0.11,0.2126052219,-0.148001369,2.944037826,0,0.19038,-0.6024509804,0.04923804273,-0.67,-0.5,0.17,-0.625,0.07,0.6044597328,0.9930067038,2.544054638,0,0.599415,10.94460784,15.39073188,0,41.3,41.3,0,23.775,18.88541947,0.9660039733,2.228540359,0,11.09565,1.28627451,29.97108587,-51,69,120,0.05,54.725,29.99867481,-0.1093818929,1.526488294,4,27.6451,59.16372549,87.09394949,-43.8,217,260.8,30.8,154.25,105.2886625,0.4016233835,1.604406996,1,81.0789,365.6504902,437.4889997,-90,939.2,1029.2,293.15,900.875,570.1726983,0.08727343727,1.128299679,1,436.5988,10.10392157,10.70567397,-2.8,29.2,32,8.6,19.475,14.72075699,0.3413552295,1.540153361,3,10.5993,-47.42696078,48.15138819,-121.3,3.1,124.4,-53.5,92.25,67.58603994,-0.137969583,1.279065926,2,49.2145,8.885784314,10.552973,-2.9,28.8,31.7,2.85,17.6,13.79573854,0.6201178621,1.869607737,15,9.40355,"Level-walk" "SetID=0001"
